date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2014-10-25,Egilsvägen 19,Norra Ångby,,Grön Hässelby,6,96,null,Villa,1932,[Norra Ängby],6495000,1455000,7950000,null,Länsförsäkringar Fastighetsförmedling,494.7921224268621,Angbyplan
2014-10-21,Beckombergavägen 216,Norra Ångby,,Grön Hässelby,3,79.5,1,Lägenhet,null,[Bromma],2650000,220000,2870000,4106,Bjurfors,1014.0316053410396,Islandstorget
2014-10-16,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,54,null,Lägenhet,1967,[Norra Ängby],1995000,0,1995000,3568,Fastighetsbyrån,458.9843663866506,Racksta
2014-10-09,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,null,Lägenhet,1967,[Bromma],1095000,440000,1535000,2062,Erik Olsson Fastighetsförmedling,424.08088533962217,Racksta
2014-10-09,Snorrevägen 11,Norra Ångby,,Grön Hässelby,9,184,null,Villa,1933,[Bromma],9800000,1900000,11700000,null,Bjurfors,772.0502784672151,Akeshov
2014-09-20,Björketorpsvägen 9,Norra Ångby,,Grön Hässelby,3.5,77,null,Lägenhet,2008,[Norra Ängby],2495000,0,2495000,4157,ERA,432.4527223685671,Racksta
2014-09-18,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,3,Lägenhet,1967,[Bromma Norra Ängby],1195000,305000,1500000,1762,HusmanHagberg,458.9843663866506,Racksta
2014-09-18,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,null,Lägenhet,1967,[Norra Ängby],1195000,285000,1480000,1762,Svenska Mäklarhuset,424.08088533962217,Racksta
2014-09-16,Danavägen 25,Norra Ångby,,Grön Hässelby,6,111,null,Villa,1937,[Norra Ängby],4975000,-475000,4500000,null,Fastighetsbyrån,486.4400936579346,Blackeberg
2014-09-11,Bergslagsvägen 74,Norra Ångby,,Grön Hässelby,5,168,6,Lägenhet,2008,[Bromma Åkeshov],6790000,0,6790000,6410,Notar,81.14636431445258,Akeshov
2014-09-09,Tingvallavägen 7,Norra Ångby,,Grön Hässelby,5,81,null,Villa,1937,[Norra Ängby],null,NaN,6250000,null,Fastighetsbyrån,761.4608413112984,Racksta
2014-08-31,Beckombergavägen 191,Norra Ångby,,Grön Hässelby,7,153,null,Villa,1938,[Bromma Norra Ängby],6250000,0,6250000,null,Notar,927.5705241510808,Islandstorget
2014-08-30,Grekfararvägen 23,Norra Ångby,,Grön Hässelby,4,51,null,Lägenhet,1941,[Bromma],4200000,400000,4600000,3906,Bjurfors,681.0830800636752,Islandstorget
2014-08-27,Stiklastadsvägen 8,Norra Ångby,,Grön Hässelby,5,96,null,Villa,1935,[Bromma],5400000,700000,6100000,null,Bjurfors,892.6507789871235,Islandstorget
2014-08-19,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,null,Lägenhet,null,[Bromma],1195000,375000,1570000,1762,Mäklarhuset,458.9843663866506,Racksta
2014-08-13,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,null,Lägenhet,1967,[Bromma],1195000,390000,1585000,1762,Svenska Mäklarhuset,424.08088533962217,Racksta
2014-07-14,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,48,null,Lägenhet,2006,[Bromma],1495000,285000,1780000,3021,BOSTHLM,458.9843663866506,Racksta
2014-06-23,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,54,5,Lägenhet,1967,[Bromma Norra Ängby],1650000,100000,1750000,3398,HusmanHagberg,424.08088533962217,Racksta
2014-06-19,Beckombergavägen 216,Norra Ångby,,Grön Hässelby,4,89,3,Lägenhet,null,[Bromma],2990000,350000,3340000,4706,SkandiaMäklarna,1014.0316053410396,Islandstorget
2014-06-05,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,48,2,Lägenhet,1967,[Bromma],1595000,0,1595000,3021,Notar,424.08088533962217,Racksta
2014-06-04,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,54,5,Lägenhet,1967,[Bromma Norra Ängby],1650000,0,1650000,3398,HusmanHagberg,424.08088533962217,Racksta
2014-05-15,Ottarsvägen 3,Norra Ångby,,Grön Hässelby,6,103,null,Villa,1935,[Bromma],6300000,1175000,7475000,null,Bjurfors,322.2844202097616,Angbyplan
2014-05-09,Saxlandsvägen 8,Norra Ångby,,Grön Hässelby,5,70,null,Villa,1936,[Bromma],4900000,550000,5450000,null,Bjurfors,255.47095235407158,Islandstorget
2014-05-07,Spångavägen 47,Norra Ångby,,Grön Hässelby,2,59.5,0.5,Lägenhet,1940,[Bromma Brommaplan],1490000,-60000,1430000,4143,Notar,469.20641129158423,Akeshov
2014-05-02,Bergslagsvägen 78,Norra Ångby,,Grön Hässelby,3,82,null,Lägenhet,2008,[Bromma Norra Ängby],2975000,225000,3200000,4169,Mäklarringen,137.95407801646613,Akeshov
2014-04-16,Björketorpsvägen 17,Norra Ångby,,Grön Hässelby,2,43,null,Lägenhet,2009,[Norra Ängby],1595000,325000,1920000,2445,Fastighetsbyrån,492.26026843511295,Racksta
2014-04-16,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,54,null,Lägenhet,1967,[Norra Ängby],1595000,155000,1750000,3398,Fastighetsbyrån,458.9843663866506,Racksta
